1stFlrSF,3SsnPorch,BldgType,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtFinType1,BsmtFullBath,BsmtHalfBath,BsmtQual,CentralAir,Condition1,Condition2,Electrical,EnclosedPorch,FireplaceQu,Fireplaces,Foundation,FullBath,Functional,GarageArea,GarageCars,GarageFinish,GarageQual,GarageType,GarageYrBlt,GrLivArea,HalfBath,HeatingQC,HouseStyle,KitchenQual,LandSlope,LotArea,LotConfig,LotFrontage,LotShape,MasVnrArea,MiscVal,MoSold,Neighborhood,OpenPorchSF,OverallCond,OverallQual,PavedDrive,PoolArea,RoofMatl,RoofStyle,SaleCondition,ScreenPorch,Street,TotRmsAbvGrd,TotalBsmtSF,WoodDeckSF,YearBuilt,YearRemodAdd,YrSold,Sale Price
856,0,0,3,706,0,2,1,0,2,1,2,2,0,0,3,0,2,2,6,548,2,2,5,1,2003.0,1710,1,0,5,2,0,8450,4,65.0,3,128,0,1,5,61,4,7,2,0,1,1,4,0,1,8,856,0,2003,2003,2,12.24769911637256
1262,0,0,1,978,0,0,0,1,2,1,1,2,0,0,5,1,1,2,6,460,2,2,5,1,1976.0,1262,0,0,2,3,0,9600,2,80.0,3,0,0,4,24,0,7,6,2,0,1,1,4,0,1,6,1262,298,1976,1976,1,12.109016442313738
920,0,0,2,486,0,2,1,0,2,1,2,2,0,0,5,1,2,2,6,608,2,2,5,1,2001.0,1786,1,0,5,2,0,11250,4,68.0,0,104,0,8,5,42,4,7,2,0,1,1,4,0,1,6,920,0,2001,2002,2,12.317171167298682
961,0,0,3,216,0,0,1,0,4,1,2,2,0,272,2,1,0,1,6,642,3,3,5,5,1998.0,1717,0,2,5,2,0,9550,0,60.0,0,0,0,1,6,35,4,7,2,0,1,1,0,0,1,7,756,0,1915,1970,0,11.849404844423074
1145,0,0,0,655,0,2,1,0,2,1,2,2,0,0,5,1,2,2,6,836,3,2,5,1,2000.0,2198,1,0,5,2,0,14260,2,84.0,0,221,0,11,15,84,4,8,2,0,1,1,4,0,1,9,1145,192,2000,2000,2,12.429220196836383
796,320,0,3,732,0,2,1,0,2,1,2,2,0,0,3,0,5,1,6,480,2,3,5,1,1993.0,1362,1,0,0,3,0,14115,4,85.0,0,0,700,9,11,30,4,5,2,0,1,1,4,0,1,5,796,40,1993,1995,3,11.870606902224587
1694,0,0,0,1369,0,2,1,0,0,1,2,2,0,0,2,1,2,2,6,636,2,2,5,1,2004.0,1694,0,0,2,2,0,10084,4,75.0,3,123,0,7,21,57,4,8,2,0,1,1,4,0,1,7,1686,255,2004,2005,1,12.634606283893019
1107,0,0,2,859,32,0,1,0,2,1,4,2,0,228,5,2,1,2,6,484,2,2,5,1,1973.0,2090,1,0,5,3,0,10382,0,80.0,0,157,350,10,14,204,5,7,2,0,1,1,4,0,1,7,1107,235,1973,1973,3,12.206077645517674
1022,0,0,3,0,0,6,0,0,4,1,0,2,0,205,5,2,0,2,2,468,2,3,1,5,1931.0,1774,0,2,0,3,0,6120,4,51.0,3,0,0,3,17,0,4,7,2,0,1,1,0,0,1,8,952,90,1931,1950,2,11.774527900858468
1077,0,1,3,851,0,2,1,0,4,1,0,0,0,0,5,2,0,1,6,205,1,2,2,1,1939.0,1077,0,0,1,3,0,7420,0,50.0,3,0,0,0,3,4,5,5,2,0,1,1,4,0,1,5,991,0,1939,1950,2,11.678448377988165
